id,date,timestamp,latitude,longitude,depth,size,location,attribute
189,2023.02.06 16:06:37,1675699597,38.073,37.4315,13.6,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",AGCASAR-NURHAK (KAHRAMANMARAS),İlksel
190,2023.02.06 16:03:16,1675699396,38.0642,37.3865,5.0,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",AGCASAR-NURHAK (KAHRAMANMARAS),İlksel
191,2023.02.06 16:02:25,1675699345,37.6492,37.3497,9.3,"{'md': 0.0, 'ml': 3.6, 'mw': 0.0}",BOLUKDAMLAR-CAGLAYANCERIT (KAHRAMANMARAS),REVIZE01
192,2023.02.06 16:00:13,1675699213,38.1665,37.0397,8.2,"{'md': 0.0, 'ml': 4.5, 'mw': 0.0}",ORTAKLI-AFSIN (KAHRAMANMARAS),İlksel
193,2023.02.06 15:55:46,1675698946,38.0988,36.719,12.8,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",FINDIK-GOKSUN (KAHRAMANMARAS),İlksel
194,2023.02.06 15:54:38,1675698878,38.1908,36.616,5.0,"{'md': 0.0, 'ml': 4.7, 'mw': 4.5}",ESENKOY-GOKSUN (KAHRAMANMARAS),İlksel
195,2023.02.06 15:47:59,1675698479,38.1552,37.0305,5.0,"{'md': 0.0, 'ml': 4.4, 'mw': 0.0}",ORTAKLI-AFSIN (KAHRAMANMARAS),İlksel
196,2023.02.06 15:45:20,1675698320,38.077,36.4602,5.5,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",MEHMETBEY-GOKSUN (KAHRAMANMARAS),REVIZE01
198,2023.02.06 15:36:44,1675697804,38.0367,36.5625,2.1,"{'md': 0.0, 'ml': 4.6, 'mw': 0.0}",YANTEPE-GOKSUN (KAHRAMANMARAS),İlksel
201,2023.02.06 15:30:31,1675697431,38.117,36.7867,5.6,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",KORKMAZ-GOKSUN (KAHRAMANMARAS),İlksel
203,2023.02.06 15:21:18,1675696878,38.0947,36.4038,5.0,"{'md': 0.0, 'ml': 4.3, 'mw': 0.0}",SOGUKPINAR-GOKSUN (KAHRAMANMARAS),İlksel
204,2023.02.06 15:19:11,1675696751,37.9183,37.4562,15.9,"{'md': 0.0, 'ml': 4.0, 'mw': 0.0}",BICIN-NURHAK (KAHRAMANMARAS),İlksel
205,2023.02.06 15:13:47,1675696427,37.9892,37.4735,8.1,"{'md': 0.0, 'ml': 4.9, 'mw': 0.0}",NURHAK (KAHRAMANMARAS),İlksel
206,2023.02.06 15:07:33,1675696053,38.04,36.3845,4.5,"{'md': 0.0, 'ml': 4.3, 'mw': 4.3}",SOGUKPINAR-GOKSUN (KAHRAMANMARAS),İlksel
207,2023.02.06 15:02:11,1675695731,38.0697,36.4702,5.0,"{'md': 0.0, 'ml': 5.9, 'mw': 5.8}",MEHMETBEY-GOKSUN (KAHRAMANMARAS),İlksel
209,2023.02.06 14:55:57,1675695357,38.0302,36.5997,6.6,"{'md': 0.0, 'ml': 4.3, 'mw': 4.3}",SARAYCIK-GOKSUN (KAHRAMANMARAS),İlksel
211,2023.02.06 14:50:04,1675695004,38.0483,36.361,7.3,"{'md': 0.0, 'ml': 4.5, 'mw': 0.0}",SOGUKPINAR-GOKSUN (KAHRAMANMARAS),İlksel
215,2023.02.06 14:43:22,1675694602,38.0588,37.0498,10.5,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",KANDILKOY-EKINOZU (KAHRAMANMARAS),İlksel
216,2023.02.06 14:39:41,1675694381,38.1025,36.4763,5.0,"{'md': 0.0, 'ml': 4.6, 'mw': 0.0}",MAHMUTBEY-GOKSUN (KAHRAMANMARAS),İlksel
217,2023.02.06 14:35:27,1675694127,38.0275,37.4738,5.2,"{'md': 0.0, 'ml': 4.5, 'mw': 0.0}",TATLAR-NURHAK (KAHRAMANMARAS),İlksel
218,2023.02.06 14:34:18,1675694058,38.1448,37.6645,9.1,"{'md': 0.0, 'ml': 4.1, 'mw': 0.0}",TAPKIRAN-ELBISTAN (KAHRAMANMARAS),İlksel
220,2023.02.06 14:23:40,1675693420,38.0058,37.043,8.6,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",KURTUL-EKINOZU (KAHRAMANMARAS),İlksel
223,2023.02.06 14:16:39,1675692999,38.0603,36.5322,14.1,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",ORTATEPE-GOKSUN (KAHRAMANMARAS),İlksel
224,2023.02.06 14:11:39,1675692699,38.0815,37.299,1.4,"{'md': 0.0, 'ml': 4.8, 'mw': 0.0}",OZCANLI-ELBISTAN (KAHRAMANMARAS),İlksel
225,2023.02.06 14:05:37,1675692337,38.1308,36.4318,5.4,"{'md': 0.0, 'ml': 4.8, 'mw': 0.0}",MURSEL-GOKSUN (KAHRAMANMARAS),İlksel
226,2023.02.06 13:56:26,1675691786,38.0542,37.4667,20.4,"{'md': 0.0, 'ml': 4.4, 'mw': 0.0}",TATLAR-NURHAK (KAHRAMANMARAS),İlksel
