id,date,timestamp,latitude,longitude,depth,size,location,afad_id,attribute
42,2023-02-07 15:24:37,1675783477,37.151,36.931,7.0,"{'md': 0, 'ml': 3.5, 'mw': 0}",Nurdağı (Gaziantep),544069,ML
43,2023-02-07 15:20:54,1675783254,38.176,42.686,7.0,"{'md': 0, 'ml': 2.6, 'mw': 0}",Hizan (Bitlis),544066,ML
44,2023-02-07 15:19:00,1675783140,38.09,37.856,7.15,"{'md': 0, 'ml': 2.9, 'mw': 0}",Doğanşehir (Malatya),544064,ML
45,2023-02-07 15:16:02,1675782962,38.082,37.456,6.8,"{'md': 0, 'ml': 3.4, 'mw': 0}",Elbistan (Kahramanmaraş),544061,ML
46,2023-02-07 15:15:25,1675782925,38.225,38.185,7.0,"{'md': 0, 'ml': 2.6, 'mw': 0}",Yeşilyurt (Malatya),544062,ML
47,2023-02-07 15:12:37,1675782757,38.619,39.491,7.16,"{'md': 0, 'ml': 2.3, 'mw': 0}",Keban Barajı - [03.41 km] Merkez (Elazığ),544065,ML
48,2023-02-07 15:07:02,1675782422,38.284,38.218,13.12,"{'md': 0, 'ml': 0, 'mw': 4.5}",Yeşilyurt (Malatya),544063,MW
49,2023-02-07 15:02:07,1675782127,36.235,35.936,7.0,"{'md': 0, 'ml': 3.5, 'mw': 0}",Samandağ (Hatay),544058,ML
50,2023-02-07 14:55:19,1675781719,38.01,37.445,7.0,"{'md': 0, 'ml': 3.8, 'mw': 0}",Nurhak (Kahramanmaraş),544060,ML
51,2023-02-07 14:52:25,1675781545,38.001,36.453,7.14,"{'md': 0, 'ml': 3.4, 'mw': 0}",Göksun (Kahramanmaraş),544059,ML
52,2023-02-07 14:49:51,1675781391,37.15,37.008,7.0,"{'md': 0, 'ml': 3.4, 'mw': 0}",Nurdağı (Gaziantep),544056,ML
53,2023-02-07 14:47:36,1675781256,38.089,36.601,7.12,"{'md': 0, 'ml': 3.9, 'mw': 0}",Göksun (Kahramanmaraş),544055,ML
54,2023-02-07 14:38:53,1675780733,37.592,37.29,18.22,"{'md': 0, 'ml': 3.8, 'mw': 0}",Pazarcık (Kahramanmaraş),544052,ML
55,2023-02-07 14:36:13,1675780573,37.987,37.624,22.48,"{'md': 0, 'ml': 3.1, 'mw': 0}",Doğanşehir (Malatya),544054,ML
56,2023-02-07 14:34:49,1675780489,38.043,37.724,7.0,"{'md': 0, 'ml': 2.7, 'mw': 0}",Doğanşehir (Malatya),544057,ML
57,2023-02-07 14:32:09,1675780329,38.874,37.958,7.0,"{'md': 0, 'ml': 3.5, 'mw': 0}",Hekimhan (Malatya),544050,ML
58,2023-02-07 14:26:43,1675780003,38.062,37.729,7.17,"{'md': 0, 'ml': 3.8, 'mw': 0}",Doğanşehir (Malatya),544049,ML
59,2023-02-07 14:24:36,1675779876,38.138,37.719,7.22,"{'md': 0, 'ml': 3.7, 'mw': 0}",Elbistan (Kahramanmaraş),544048,ML
60,2023-02-07 14:17:45,1675779465,37.581,37.253,7.27,"{'md': 0, 'ml': 2.0, 'mw': 0}",Pazarcık (Kahramanmaraş),544051,ML
61,2023-02-07 14:15:41,1675779341,37.338,36.914,12.4,"{'md': 0, 'ml': 3.3, 'mw': 0}",Türkoğlu (Kahramanmaraş),544053,ML
62,2023-02-07 14:13:06,1675779186,38.142,38.653,7.0,"{'md': 0, 'ml': 3.3, 'mw': 0}",Pütürge (Malatya),544046,ML
63,2023-02-07 14:10:23,1675779023,37.931,37.92,7.0,"{'md': 0, 'ml': 3.3, 'mw': 0}",Doğanşehir (Malatya),544047,ML
