id,date,timestamp,latitude,longitude,depth,size,location,attribute
71,2023.02.07 14:17:58,1675779478,38.1353,36.8997,22.0,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",KEMALPASA-GOKSUN (KAHRAMANMARAS),İlksel
72,2023.02.07 14:13:05,1675779185,38.0837,38.554,13.3,"{'md': 0.0, 'ml': 3.3, 'mw': 0.0}",NARLI-SINCIK (ADIYAMAN),İlksel
73,2023.02.07 14:12:19,1675779139,37.4958,37.1863,13.3,"{'md': 0.0, 'ml': 3.0, 'mw': 0.0}",SOGUTLU-PAZARCIK (KAHRAMANMARAS),İlksel
74,2023.02.07 14:10:23,1675779023,37.956,37.9302,5.0,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",ERKENEK-DOGANSEHIR (MALATYA),İlksel
75,2023.02.07 14:08:24,1675778904,38.4087,38.095,26.0,"{'md': 0.0, 'ml': 2.9, 'mw': 0.0}",BAHRI-AKCADAG (MALATYA),İlksel
76,2023.02.07 14:01:11,1675778471,38.0632,37.4718,5.0,"{'md': 0.0, 'ml': 4.2, 'mw': 0.0}",SUNNETKOY-ELBISTAN (KAHRAMANMARAS),İlksel
77,2023.02.07 13:58:27,1675778307,37.9565,37.6405,18.4,"{'md': 0.0, 'ml': 3.1, 'mw': 0.0}",KAPIDERE-DOGANSEHIR (MALATYA),İlksel
78,2023.02.07 13:56:29,1675778189,37.852,36.6282,3.2,"{'md': 0.0, 'ml': 4.4, 'mw': 0.0}",DONGEL-(KAHRAMANMARAS),İlksel
79,2023.02.07 13:53:35,1675778015,39.8402,24.6527,7.7,"{'md': 0.0, 'ml': 3.8, 'mw': 0.0}",EGE DENIZI,İlksel
80,2023.02.07 13:52:39,1675777959,37.9288,37.8162,8.4,"{'md': 0.0, 'ml': 3.3, 'mw': 0.0}",KARANLIKDERE-DOGANSEHIR (MALATYA),İlksel
81,2023.02.07 13:52:01,1675777921,38.0283,37.3532,10.7,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",BARIS-NURHAK (KAHRAMANMARAS),İlksel
82,2023.02.07 13:50:25,1675777825,38.1092,36.5483,10.7,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",CAMDERE-GOKSUN (KAHRAMANMARAS),İlksel
83,2023.02.07 13:47:32,1675777652,37.8732,36.6982,4.6,"{'md': 0.0, 'ml': 3.2, 'mw': 0.0}",SAHINKAYASI-(KAHRAMANMARAS),İlksel
84,2023.02.07 13:45:40,1675777540,37.916,37.786,23.3,"{'md': 0.0, 'ml': 3.4, 'mw': 0.0}",KARANLIKDERE-DOGANSEHIR (MALATYA),İlksel
85,2023.02.07 13:44:51,1675777491,38.2452,37.9093,13.9,"{'md': 0.0, 'ml': 3.5, 'mw': 0.0}",OREN-AKCADAG (MALATYA),İlksel
86,2023.02.07 13:41:44,1675777304,38.1057,36.5072,5.0,"{'md': 0.0, 'ml': 3.9, 'mw': 0.0}",MAHMUTBEY-GOKSUN (KAHRAMANMARAS),İlksel
87,2023.02.07 13:37:24,1675777044,36.4372,35.6998,13.4,"{'md': 0.0, 'ml': 4.0, 'mw': 0.0}",ISKENDERUN KORFEZI (AKDENIZ),İlksel
